KEGG ID hsa,hsa,KEGG ID pae,pae,KEGG ID lsv,lsv,KEGG ID rsx,rsx,KEGG ID ztr,ztr,KEGG ID bfu,bfu,KEGG ID cne,cne,KEGG ID cng,cng,KEGG ID cal,cal,KEGG ID afm,afm
hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",pae01040,Biosynthesis of unsaturated fatty acids - Pseudomonas aeruginosa PAO1,lsv00591,Linoleic acid metabolism - Lactuca sativa (garden lettuce),rsx01040,Biosynthesis of unsaturated fatty acids - Rhizoctonia solani,ztr01040,Biosynthesis of unsaturated fatty acids - Zymoseptoria tritici,bfu00592,alpha-Linolenic acid metabolism - Botrytis cinerea (gray mold),cne00240,Pyrimidine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00240,Pyrimidine metabolism - Cryptococcus neoformans var. grubii H99,cal00240,Pyrimidine metabolism - Candida albicans,afm01040,Biosynthesis of unsaturated fatty acids - Aspergillus fumigatus
hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",pae00230,Purine metabolism - Pseudomonas aeruginosa PAO1,lsv00592,alpha-Linolenic acid metabolism - Lactuca sativa (garden lettuce),rsx00230,Purine metabolism - Rhizoctonia solani,ztr00230,Purine metabolism - Zymoseptoria tritici,bfu01040,Biosynthesis of unsaturated fatty acids - Botrytis cinerea (gray mold),cne00250,"Alanine, aspartate and glutamate metabolism - Cryptococcus neoformans var. neoformans JEC21",cng00250,"Alanine, aspartate and glutamate metabolism - Cryptococcus neoformans var. grubii H99",cal00250,"Alanine, aspartate and glutamate metabolism - Candida albicans",afm00230,Purine metabolism - Aspergillus fumigatus
hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),pae00240,Pyrimidine metabolism - Pseudomonas aeruginosa PAO1,lsv01040,Biosynthesis of unsaturated fatty acids - Lactuca sativa (garden lettuce),rsx00240,Pyrimidine metabolism - Rhizoctonia solani,ztr00240,Pyrimidine metabolism - Zymoseptoria tritici,bfu00230,Purine metabolism - Botrytis cinerea (gray mold),cne00260,"Glycine, serine and threonine metabolism - Cryptococcus neoformans var. neoformans JEC21",cng00260,"Glycine, serine and threonine metabolism - Cryptococcus neoformans var. grubii H99",cal00260,"Glycine, serine and threonine metabolism - Candida albicans",afm00240,Pyrimidine metabolism - Aspergillus fumigatus
hsa00280,"Valine, leucine and isoleucine degradation - Homo sapiens (human)",pae00250,"Alanine, aspartate and glutamate metabolism - Pseudomonas aeruginosa PAO1",lsv00230,Purine metabolism - Lactuca sativa (garden lettuce),rsx00250,"Alanine, aspartate and glutamate metabolism - Rhizoctonia solani",ztr00250,"Alanine, aspartate and glutamate metabolism - Zymoseptoria tritici",bfu00240,Pyrimidine metabolism - Botrytis cinerea (gray mold),cne00270,Cysteine and methionine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00270,Cysteine and methionine metabolism - Cryptococcus neoformans var. grubii H99,cal00270,Cysteine and methionine metabolism - Candida albicans,afm00250,"Alanine, aspartate and glutamate metabolism - Aspergillus fumigatus"
hsa00290,"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)",pae00260,"Glycine, serine and threonine metabolism - Pseudomonas aeruginosa PAO1",lsv00240,Pyrimidine metabolism - Lactuca sativa (garden lettuce),rsx00260,"Glycine, serine and threonine metabolism - Rhizoctonia solani",ztr00260,"Glycine, serine and threonine metabolism - Zymoseptoria tritici",bfu00250,"Alanine, aspartate and glutamate metabolism - Botrytis cinerea (gray mold)",cne00280,"Valine, leucine and isoleucine degradation - Cryptococcus neoformans var. neoformans JEC21",cng00280,"Valine, leucine and isoleucine degradation - Cryptococcus neoformans var. grubii H99",cal00280,"Valine, leucine and isoleucine degradation - Candida albicans",afm00260,"Glycine, serine and threonine metabolism - Aspergillus fumigatus"
hsa00310,Lysine degradation - Homo sapiens (human),pae00270,Cysteine and methionine metabolism - Pseudomonas aeruginosa PAO1,lsv00250,"Alanine, aspartate and glutamate metabolism - Lactuca sativa (garden lettuce)",rsx00270,Cysteine and methionine metabolism - Rhizoctonia solani,ztr00270,Cysteine and methionine metabolism - Zymoseptoria tritici,bfu00260,"Glycine, serine and threonine metabolism - Botrytis cinerea (gray mold)",cne00290,"Valine, leucine and isoleucine biosynthesis - Cryptococcus neoformans var. neoformans JEC21",cng00290,"Valine, leucine and isoleucine biosynthesis - Cryptococcus neoformans var. grubii H99",cal00290,"Valine, leucine and isoleucine biosynthesis - Candida albicans",afm00270,Cysteine and methionine metabolism - Aspergillus fumigatus
hsa00220,Arginine biosynthesis - Homo sapiens (human),pae00280,"Valine, leucine and isoleucine degradation - Pseudomonas aeruginosa PAO1",lsv00260,"Glycine, serine and threonine metabolism - Lactuca sativa (garden lettuce)",rsx00280,"Valine, leucine and isoleucine degradation - Rhizoctonia solani",ztr00280,"Valine, leucine and isoleucine degradation - Zymoseptoria tritici",bfu00270,Cysteine and methionine metabolism - Botrytis cinerea (gray mold),cne00300,Lysine biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00300,Lysine biosynthesis - Cryptococcus neoformans var. grubii H99,cal00300,Lysine biosynthesis - Candida albicans,afm00280,"Valine, leucine and isoleucine degradation - Aspergillus fumigatus"
hsa00330,Arginine and proline metabolism - Homo sapiens (human),pae00290,"Valine, leucine and isoleucine biosynthesis - Pseudomonas aeruginosa PAO1",lsv00270,Cysteine and methionine metabolism - Lactuca sativa (garden lettuce),rsx00290,"Valine, leucine and isoleucine biosynthesis - Rhizoctonia solani",ztr00290,"Valine, leucine and isoleucine biosynthesis - Zymoseptoria tritici",bfu00280,"Valine, leucine and isoleucine degradation - Botrytis cinerea (gray mold)",cne00310,Lysine degradation - Cryptococcus neoformans var. neoformans JEC21,cng00310,Lysine degradation - Cryptococcus neoformans var. grubii H99,cal00310,Lysine degradation - Candida albicans,afm00290,"Valine, leucine and isoleucine biosynthesis - Aspergillus fumigatus"
hsa00340,Histidine metabolism - Homo sapiens (human),pae00300,Lysine biosynthesis - Pseudomonas aeruginosa PAO1,lsv00280,"Valine, leucine and isoleucine degradation - Lactuca sativa (garden lettuce)",rsx00300,Lysine biosynthesis - Rhizoctonia solani,ztr00300,Lysine biosynthesis - Zymoseptoria tritici,bfu00290,"Valine, leucine and isoleucine biosynthesis - Botrytis cinerea (gray mold)",cne00220,Arginine biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00220,Arginine biosynthesis - Cryptococcus neoformans var. grubii H99,cal00220,Arginine biosynthesis - Candida albicans,afm00300,Lysine biosynthesis - Aspergillus fumigatus
hsa00350,Tyrosine metabolism - Homo sapiens (human),pae00310,Lysine degradation - Pseudomonas aeruginosa PAO1,lsv00290,"Valine, leucine and isoleucine biosynthesis - Lactuca sativa (garden lettuce)",rsx00310,Lysine degradation - Rhizoctonia solani,ztr00310,Lysine degradation - Zymoseptoria tritici,bfu00300,Lysine biosynthesis - Botrytis cinerea (gray mold),cne00330,Arginine and proline metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00330,Arginine and proline metabolism - Cryptococcus neoformans var. grubii H99,cal00330,Arginine and proline metabolism - Candida albicans,afm00310,Lysine degradation - Aspergillus fumigatus
hsa00360,Phenylalanine metabolism - Homo sapiens (human),pae00220,Arginine biosynthesis - Pseudomonas aeruginosa PAO1,lsv00300,Lysine biosynthesis - Lactuca sativa (garden lettuce),rsx00220,Arginine biosynthesis - Rhizoctonia solani,ztr00220,Arginine biosynthesis - Zymoseptoria tritici,bfu00310,Lysine degradation - Botrytis cinerea (gray mold),cne00340,Histidine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00340,Histidine metabolism - Cryptococcus neoformans var. grubii H99,cal00340,Histidine metabolism - Candida albicans,afm00220,Arginine biosynthesis - Aspergillus fumigatus
hsa00380,Tryptophan metabolism - Homo sapiens (human),pae00330,Arginine and proline metabolism - Pseudomonas aeruginosa PAO1,lsv00310,Lysine degradation - Lactuca sativa (garden lettuce),rsx00330,Arginine and proline metabolism - Rhizoctonia solani,ztr00330,Arginine and proline metabolism - Zymoseptoria tritici,bfu00220,Arginine biosynthesis - Botrytis cinerea (gray mold),cne00350,Tyrosine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00350,Tyrosine metabolism - Cryptococcus neoformans var. grubii H99,cal00350,Tyrosine metabolism - Candida albicans,afm00330,Arginine and proline metabolism - Aspergillus fumigatus
hsa00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)",pae00340,Histidine metabolism - Pseudomonas aeruginosa PAO1,lsv00220,Arginine biosynthesis - Lactuca sativa (garden lettuce),rsx00340,Histidine metabolism - Rhizoctonia solani,ztr00340,Histidine metabolism - Zymoseptoria tritici,bfu00330,Arginine and proline metabolism - Botrytis cinerea (gray mold),cne00360,Phenylalanine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00360,Phenylalanine metabolism - Cryptococcus neoformans var. grubii H99,cal00360,Phenylalanine metabolism - Candida albicans,afm00340,Histidine metabolism - Aspergillus fumigatus
hsa00410,beta-Alanine metabolism - Homo sapiens (human),pae00350,Tyrosine metabolism - Pseudomonas aeruginosa PAO1,lsv00330,Arginine and proline metabolism - Lactuca sativa (garden lettuce),rsx00350,Tyrosine metabolism - Rhizoctonia solani,ztr00350,Tyrosine metabolism - Zymoseptoria tritici,bfu00340,Histidine metabolism - Botrytis cinerea (gray mold),cne00380,Tryptophan metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00380,Tryptophan metabolism - Cryptococcus neoformans var. grubii H99,cal00380,Tryptophan metabolism - Candida albicans,afm00350,Tyrosine metabolism - Aspergillus fumigatus
hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),pae00360,Phenylalanine metabolism - Pseudomonas aeruginosa PAO1,lsv00340,Histidine metabolism - Lactuca sativa (garden lettuce),rsx00360,Phenylalanine metabolism - Rhizoctonia solani,ztr00360,Phenylalanine metabolism - Zymoseptoria tritici,bfu00350,Tyrosine metabolism - Botrytis cinerea (gray mold),cne00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Cryptococcus neoformans var. neoformans JEC21",cng00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Cryptococcus neoformans var. grubii H99",cal00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Candida albicans",afm00360,Phenylalanine metabolism - Aspergillus fumigatus
hsa00440,Phosphonate and phosphinate metabolism - Homo sapiens (human),pae00380,Tryptophan metabolism - Pseudomonas aeruginosa PAO1,lsv00350,Tyrosine metabolism - Lactuca sativa (garden lettuce),rsx00380,Tryptophan metabolism - Rhizoctonia solani,ztr00380,Tryptophan metabolism - Zymoseptoria tritici,bfu00360,Phenylalanine metabolism - Botrytis cinerea (gray mold),cne00410,beta-Alanine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00410,beta-Alanine metabolism - Cryptococcus neoformans var. grubii H99,cal00410,beta-Alanine metabolism - Candida albicans,afm00380,Tryptophan metabolism - Aspergillus fumigatus
hsa00450,Selenocompound metabolism - Homo sapiens (human),pae00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa PAO1",lsv00360,Phenylalanine metabolism - Lactuca sativa (garden lettuce),rsx00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Rhizoctonia solani",ztr00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Zymoseptoria tritici",bfu00380,Tryptophan metabolism - Botrytis cinerea (gray mold),cne00430,Taurine and hypotaurine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00430,Taurine and hypotaurine metabolism - Cryptococcus neoformans var. grubii H99,cal00430,Taurine and hypotaurine metabolism - Candida albicans,afm00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Aspergillus fumigatus"
hsa00470,D-Amino acid metabolism - Homo sapiens (human),pae00410,beta-Alanine metabolism - Pseudomonas aeruginosa PAO1,lsv00380,Tryptophan metabolism - Lactuca sativa (garden lettuce),rsx00410,beta-Alanine metabolism - Rhizoctonia solani,ztr00410,beta-Alanine metabolism - Zymoseptoria tritici,bfu00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Botrytis cinerea (gray mold)",cne00440,Phosphonate and phosphinate metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00440,Phosphonate and phosphinate metabolism - Cryptococcus neoformans var. grubii H99,cal00440,Phosphonate and phosphinate metabolism - Candida albicans,afm00410,beta-Alanine metabolism - Aspergillus fumigatus
hsa00480,Glutathione metabolism - Homo sapiens (human),pae00430,Taurine and hypotaurine metabolism - Pseudomonas aeruginosa PAO1,lsv00400,"Phenylalanine, tyrosine and tryptophan biosynthesis - Lactuca sativa (garden lettuce)",rsx00430,Taurine and hypotaurine metabolism - Rhizoctonia solani,ztr00430,Taurine and hypotaurine metabolism - Zymoseptoria tritici,bfu00410,beta-Alanine metabolism - Botrytis cinerea (gray mold),cne00450,Selenocompound metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00450,Selenocompound metabolism - Cryptococcus neoformans var. grubii H99,cal00450,Selenocompound metabolism - Candida albicans,afm00430,Taurine and hypotaurine metabolism - Aspergillus fumigatus
hsa00510,N-Glycan biosynthesis - Homo sapiens (human),pae00440,Phosphonate and phosphinate metabolism - Pseudomonas aeruginosa PAO1,lsv00410,beta-Alanine metabolism - Lactuca sativa (garden lettuce),rsx00440,Phosphonate and phosphinate metabolism - Rhizoctonia solani,ztr00440,Phosphonate and phosphinate metabolism - Zymoseptoria tritici,bfu00430,Taurine and hypotaurine metabolism - Botrytis cinerea (gray mold),cne00460,Cyanoamino acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00460,Cyanoamino acid metabolism - Cryptococcus neoformans var. grubii H99,cal00460,Cyanoamino acid metabolism - Candida albicans,afm00440,Phosphonate and phosphinate metabolism - Aspergillus fumigatus
hsa00513,Various types of N-glycan biosynthesis - Homo sapiens (human),pae00450,Selenocompound metabolism - Pseudomonas aeruginosa PAO1,lsv00430,Taurine and hypotaurine metabolism - Lactuca sativa (garden lettuce),rsx00450,Selenocompound metabolism - Rhizoctonia solani,ztr00450,Selenocompound metabolism - Zymoseptoria tritici,bfu00440,Phosphonate and phosphinate metabolism - Botrytis cinerea (gray mold),cne00470,D-Amino acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00470,D-Amino acid metabolism - Cryptococcus neoformans var. grubii H99,cal00470,D-Amino acid metabolism - Candida albicans,afm00450,Selenocompound metabolism - Aspergillus fumigatus
hsa00512,Mucin type O-glycan biosynthesis - Homo sapiens (human),pae00460,Cyanoamino acid metabolism - Pseudomonas aeruginosa PAO1,lsv00440,Phosphonate and phosphinate metabolism - Lactuca sativa (garden lettuce),rsx00460,Cyanoamino acid metabolism - Rhizoctonia solani,ztr00460,Cyanoamino acid metabolism - Zymoseptoria tritici,bfu00450,Selenocompound metabolism - Botrytis cinerea (gray mold),cne00480,Glutathione metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00480,Glutathione metabolism - Cryptococcus neoformans var. grubii H99,cal00480,Glutathione metabolism - Candida albicans,afm00460,Cyanoamino acid metabolism - Aspergillus fumigatus
hsa00515,Mannose type O-glycan biosynthesis - Homo sapiens (human),pae00470,D-Amino acid metabolism - Pseudomonas aeruginosa PAO1,lsv00450,Selenocompound metabolism - Lactuca sativa (garden lettuce),rsx00470,D-Amino acid metabolism - Rhizoctonia solani,ztr00470,D-Amino acid metabolism - Zymoseptoria tritici,bfu00460,Cyanoamino acid metabolism - Botrytis cinerea (gray mold),cne00510,N-Glycan biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00510,N-Glycan biosynthesis - Cryptococcus neoformans var. grubii H99,cal00510,N-Glycan biosynthesis - Candida albicans,afm00470,D-Amino acid metabolism - Aspergillus fumigatus
hsa00514,Other types of O-glycan biosynthesis - Homo sapiens (human),pae00480,Glutathione metabolism - Pseudomonas aeruginosa PAO1,lsv00460,Cyanoamino acid metabolism - Lactuca sativa (garden lettuce),rsx00480,Glutathione metabolism - Rhizoctonia solani,ztr00480,Glutathione metabolism - Zymoseptoria tritici,bfu00470,D-Amino acid metabolism - Botrytis cinerea (gray mold),cne00513,Various types of N-glycan biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00513,Various types of N-glycan biosynthesis - Cryptococcus neoformans var. grubii H99,cal00513,Various types of N-glycan biosynthesis - Candida albicans,afm00480,Glutathione metabolism - Aspergillus fumigatus
hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),pae00540,Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1,lsv00470,D-Amino acid metabolism - Lactuca sativa (garden lettuce),rsx00510,N-Glycan biosynthesis - Rhizoctonia solani,ztr00510,N-Glycan biosynthesis - Zymoseptoria tritici,bfu00480,Glutathione metabolism - Botrytis cinerea (gray mold),cne00515,Mannose type O-glycan biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00515,Mannose type O-glycan biosynthesis - Cryptococcus neoformans var. grubii H99,cal00515,Mannose type O-glycan biosynthesis - Candida albicans,afm00510,N-Glycan biosynthesis - Aspergillus fumigatus
hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),pae00541,O-Antigen nucleotide sugar biosynthesis - Pseudomonas aeruginosa PAO1,lsv00480,Glutathione metabolism - Lactuca sativa (garden lettuce),rsx00513,Various types of N-glycan biosynthesis - Rhizoctonia solani,ztr00513,Various types of N-glycan biosynthesis - Zymoseptoria tritici,bfu00510,N-Glycan biosynthesis - Botrytis cinerea (gray mold),cne00514,Other types of O-glycan biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00514,Other types of O-glycan biosynthesis - Cryptococcus neoformans var. grubii H99,cal00514,Other types of O-glycan biosynthesis - Candida albicans,afm00513,Various types of N-glycan biosynthesis - Aspergillus fumigatus
hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human),pae00550,Peptidoglycan biosynthesis - Pseudomonas aeruginosa PAO1,lsv00510,N-Glycan biosynthesis - Lactuca sativa (garden lettuce),rsx00515,Mannose type O-glycan biosynthesis - Rhizoctonia solani,ztr00515,Mannose type O-glycan biosynthesis - Zymoseptoria tritici,bfu00513,Various types of N-glycan biosynthesis - Botrytis cinerea (gray mold),cne00531,Glycosaminoglycan degradation - Cryptococcus neoformans var. neoformans JEC21,cng00531,Glycosaminoglycan degradation - Cryptococcus neoformans var. grubii H99,cal00531,Glycosaminoglycan degradation - Candida albicans,afm00515,Mannose type O-glycan biosynthesis - Aspergillus fumigatus
hsa00531,Glycosaminoglycan degradation - Homo sapiens (human),pae00552,Teichoic acid biosynthesis - Pseudomonas aeruginosa PAO1,lsv00513,Various types of N-glycan biosynthesis - Lactuca sativa (garden lettuce),rsx00514,Other types of O-glycan biosynthesis - Rhizoctonia solani,ztr00514,Other types of O-glycan biosynthesis - Zymoseptoria tritici,bfu00515,Mannose type O-glycan biosynthesis - Botrytis cinerea (gray mold),cne00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Cryptococcus neoformans var. grubii H99,cal00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Candida albicans,afm00514,Other types of O-glycan biosynthesis - Aspergillus fumigatus
hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human),pae00543,Exopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1,lsv00514,Other types of O-glycan biosynthesis - Lactuca sativa (garden lettuce),rsx00531,Glycosaminoglycan degradation - Rhizoctonia solani,ztr00531,Glycosaminoglycan degradation - Zymoseptoria tritici,bfu00514,Other types of O-glycan biosynthesis - Botrytis cinerea (gray mold),cne00604,Glycosphingolipid biosynthesis - ganglio series - Cryptococcus neoformans var. neoformans JEC21,cng00604,Glycosphingolipid biosynthesis - ganglio series - Cryptococcus neoformans var. grubii H99,cal00604,Glycosphingolipid biosynthesis - ganglio series - Candida albicans,afm00531,Glycosaminoglycan degradation - Aspergillus fumigatus
hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human),pae00730,Thiamine metabolism - Pseudomonas aeruginosa PAO1,lsv00531,Glycosaminoglycan degradation - Lactuca sativa (garden lettuce),rsx00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Rhizoctonia solani,ztr00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Zymoseptoria tritici,bfu00531,Glycosaminoglycan degradation - Botrytis cinerea (gray mold),cne00511,Other glycan degradation - Cryptococcus neoformans var. neoformans JEC21,cng00511,Other glycan degradation - Cryptococcus neoformans var. grubii H99,cal00511,Other glycan degradation - Candida albicans,afm00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Aspergillus fumigatus
hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human),pae00740,Riboflavin metabolism - Pseudomonas aeruginosa PAO1,lsv00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Lactuca sativa (garden lettuce),rsx00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Rhizoctonia solani,ztr00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Zymoseptoria tritici,bfu00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Botrytis cinerea (gray mold),cne00730,Thiamine metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00730,Thiamine metabolism - Cryptococcus neoformans var. grubii H99,cal00730,Thiamine metabolism - Candida albicans,afm00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Aspergillus fumigatus
hsa00604,Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human),pae00750,Vitamin B6 metabolism - Pseudomonas aeruginosa PAO1,lsv00601,Glycosphingolipid biosynthesis - lacto and neolacto series - Lactuca sativa (garden lettuce),rsx00604,Glycosphingolipid biosynthesis - ganglio series - Rhizoctonia solani,ztr00604,Glycosphingolipid biosynthesis - ganglio series - Zymoseptoria tritici,bfu00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Botrytis cinerea (gray mold),cne00740,Riboflavin metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00740,Riboflavin metabolism - Cryptococcus neoformans var. grubii H99,cal00740,Riboflavin metabolism - Candida albicans,afm00511,Other glycan degradation - Aspergillus fumigatus
hsa00511,Other glycan degradation - Homo sapiens (human),pae00760,Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa PAO1,lsv00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Lactuca sativa (garden lettuce),rsx00511,Other glycan degradation - Rhizoctonia solani,ztr00511,Other glycan degradation - Zymoseptoria tritici,bfu00604,Glycosphingolipid biosynthesis - ganglio series - Botrytis cinerea (gray mold),cne00750,Vitamin B6 metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00750,Vitamin B6 metabolism - Cryptococcus neoformans var. grubii H99,cal00750,Vitamin B6 metabolism - Candida albicans,afm00730,Thiamine metabolism - Aspergillus fumigatus
hsa00730,Thiamine metabolism - Homo sapiens (human),pae00770,Pantothenate and CoA biosynthesis - Pseudomonas aeruginosa PAO1,lsv00604,Glycosphingolipid biosynthesis - ganglio series - Lactuca sativa (garden lettuce),rsx00730,Thiamine metabolism - Rhizoctonia solani,ztr00730,Thiamine metabolism - Zymoseptoria tritici,bfu00511,Other glycan degradation - Botrytis cinerea (gray mold),cne00760,Nicotinate and nicotinamide metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00760,Nicotinate and nicotinamide metabolism - Cryptococcus neoformans var. grubii H99,cal00760,Nicotinate and nicotinamide metabolism - Candida albicans,afm00740,Riboflavin metabolism - Aspergillus fumigatus
hsa00740,Riboflavin metabolism - Homo sapiens (human),pae00780,Biotin metabolism - Pseudomonas aeruginosa PAO1,lsv00511,Other glycan degradation - Lactuca sativa (garden lettuce),rsx00740,Riboflavin metabolism - Rhizoctonia solani,ztr00740,Riboflavin metabolism - Zymoseptoria tritici,bfu00730,Thiamine metabolism - Botrytis cinerea (gray mold),cne00770,Pantothenate and CoA biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00770,Pantothenate and CoA biosynthesis - Cryptococcus neoformans var. grubii H99,cal00770,Pantothenate and CoA biosynthesis - Candida albicans,afm00750,Vitamin B6 metabolism - Aspergillus fumigatus
hsa00750,Vitamin B6 metabolism - Homo sapiens (human),pae00785,Lipoic acid metabolism - Pseudomonas aeruginosa PAO1,lsv00543,Exopolysaccharide biosynthesis - Lactuca sativa (garden lettuce),rsx00750,Vitamin B6 metabolism - Rhizoctonia solani,ztr00750,Vitamin B6 metabolism - Zymoseptoria tritici,bfu00740,Riboflavin metabolism - Botrytis cinerea (gray mold),cne00780,Biotin metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00780,Biotin metabolism - Cryptococcus neoformans var. grubii H99,cal00780,Biotin metabolism - Candida albicans,afm00760,Nicotinate and nicotinamide metabolism - Aspergillus fumigatus
hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),pae00790,Folate biosynthesis - Pseudomonas aeruginosa PAO1,lsv00730,Thiamine metabolism - Lactuca sativa (garden lettuce),rsx00760,Nicotinate and nicotinamide metabolism - Rhizoctonia solani,ztr00760,Nicotinate and nicotinamide metabolism - Zymoseptoria tritici,bfu00750,Vitamin B6 metabolism - Botrytis cinerea (gray mold),cne00785,Lipoic acid metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00785,Lipoic acid metabolism - Cryptococcus neoformans var. grubii H99,cal00785,Lipoic acid metabolism - Candida albicans,afm00770,Pantothenate and CoA biosynthesis - Aspergillus fumigatus
hsa00770,Pantothenate and CoA biosynthesis - Homo sapiens (human),pae00670,One carbon pool by folate - Pseudomonas aeruginosa PAO1,lsv00740,Riboflavin metabolism - Lactuca sativa (garden lettuce),rsx00770,Pantothenate and CoA biosynthesis - Rhizoctonia solani,ztr00770,Pantothenate and CoA biosynthesis - Zymoseptoria tritici,bfu00760,Nicotinate and nicotinamide metabolism - Botrytis cinerea (gray mold),cne00790,Folate biosynthesis - Cryptococcus neoformans var. neoformans JEC21,cng00790,Folate biosynthesis - Cryptococcus neoformans var. grubii H99,cal00790,Folate biosynthesis - Candida albicans,afm00780,Biotin metabolism - Aspergillus fumigatus
hsa00780,Biotin metabolism - Homo sapiens (human),pae00860,Porphyrin metabolism - Pseudomonas aeruginosa PAO1,lsv00750,Vitamin B6 metabolism - Lactuca sativa (garden lettuce),rsx00780,Biotin metabolism - Rhizoctonia solani,ztr00780,Biotin metabolism - Zymoseptoria tritici,bfu00770,Pantothenate and CoA biosynthesis - Botrytis cinerea (gray mold),cne00670,One carbon pool by folate - Cryptococcus neoformans var. neoformans JEC21,cng00670,One carbon pool by folate - Cryptococcus neoformans var. grubii H99,cal00670,One carbon pool by folate - Candida albicans,afm00785,Lipoic acid metabolism - Aspergillus fumigatus
hsa00785,Lipoic acid metabolism - Homo sapiens (human),pae00130,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa PAO1,lsv00760,Nicotinate and nicotinamide metabolism - Lactuca sativa (garden lettuce),rsx00785,Lipoic acid metabolism - Rhizoctonia solani,ztr00785,Lipoic acid metabolism - Zymoseptoria tritici,bfu00780,Biotin metabolism - Botrytis cinerea (gray mold),cne00860,Porphyrin metabolism - Cryptococcus neoformans var. neoformans JEC21,cng00860,Porphyrin metabolism - Cryptococcus neoformans var. grubii H99,cal00860,Porphyrin metabolism - Candida albicans,afm00790,Folate biosynthesis - Aspergillus fumigatus
